Date,ADRO,INDY,ITMG,PTBA
2004-01-01,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-02,325.6363220214844,1858.86181640625,2791.716796875,34.22883605957031
2004-01-05,325.6363220214844,1858.86181640625,2791.716796875,33.32809066772461
2004-01-06,325.6363220214844,1858.86181640625,2791.716796875,32.42732620239258
2004-01-07,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-08,325.6363220214844,1858.86181640625,2791.716796875,32.42732620239258
2004-01-09,325.6363220214844,1858.86181640625,2791.716796875,32.42732620239258
2004-01-12,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-13,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-14,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-15,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-16,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-19,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-01-20,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-01-21,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-22,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-23,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-01-26,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-01-27,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-01-28,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-01-29,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-01-30,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-02,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-03,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-02-04,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-02-05,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-02-06,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-09,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-10,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-11,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-12,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-13,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-16,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-17,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-18,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-19,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-20,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-23,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-24,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-02-25,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-02-26,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-02-27,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-03-01,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-02,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-03-03,325.6363220214844,1858.86181640625,2791.716796875,31.52655792236328
2004-03-04,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-03-05,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-03-08,325.6363220214844,1858.86181640625,2791.716796875,30.62580108642578
2004-03-09,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-03-10,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-03-11,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-12,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-03-15,325.6363220214844,1858.86181640625,2791.716796875,27.02276611328125
2004-03-16,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-17,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-18,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-03-19,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-03-22,325.6363220214844,1858.86181640625,2791.716796875,29.72504425048828
2004-03-23,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-03-24,325.6363220214844,1858.86181640625,2791.716796875,28.824283599853516
2004-03-25,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-26,325.6363220214844,1858.86181640625,2791.716796875,27.02276611328125
2004-03-29,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
2004-03-30,325.6363220214844,1858.86181640625,2791.716796875,27.923526763916016
