Date,ADRO,PTBA,INDY,ITMG
2004-01-01,,31.362790888006035,,
2004-02-01,,29.36474437713623,,
2004-03-01,,28.9417783488398,,
2004-04-01,,29.765990777449176,,
2004-05-01,,25.650185176304408,,
2004-06-01,,26.481391646645285,,
2004-07-01,,27.86767933585427,,
2004-08-01,,27.734551256353203,,
2004-09-01,,32.61582946777344,,
2004-10-01,,35.51712980724516,,
2004-11-01,,46.904668461192735,,
2004-12-01,,57.453021008035414,,
2005-01-01,,62.54743690490723,,
2005-02-01,,64.09762509663899,,
2005-03-01,,66.62321308680943,,
2005-04-01,,61.09740238189697,,
2005-05-01,,59.29465656280517,,
2005-06-01,,60.51311475580389,,
2005-07-01,,62.79415802728562,,
2005-08-01,,72.19849187677556,,
2005-09-01,,69.96871802920387,,
2005-10-01,,71.86456734793526,,
2005-11-01,,70.13086419356496,,
2005-12-01,,73.59344794533469,,
2006-01-01,,76.77922890403055,,
2006-02-01,,83.85581398010254,,
2006-03-01,,88.5781890205715,,
2006-04-01,,101.70940170288085,,
2006-05-01,,141.7701757679815,,
2006-06-01,,133.834492076527,,
2006-07-01,,138.8863031296503,,
2006-08-01,,153.7236666472062,,
2006-09-01,,147.18485877627418,,
2006-10-01,,144.2366249778054,,
2006-11-01,,143.41047252308238,,
2006-12-01,,144.22691040039064,,
2007-01-01,,137.4330149563876,,
2007-02-01,,134.0700824737549,,
2007-03-01,,139.95543706984748,,
2007-04-01,,157.4842384338379,,
2007-05-01,,193.40730430966332,,
2007-06-01,,286.0212562561035,,
2007-07-01,,291.40438426624644,,
2007-08-01,,245.07168301669034,,
2007-09-01,,268.2132141113281,,
2007-10-01,,362.497509765625,,
2007-11-01,,469.6834827769886,,
2007-12-01,,521.0669035070083,,2764.905460133272
2008-01-01,,497.860530090332,,3305.549462890625
2008-02-01,,494.39319329512745,,3977.296875
2008-03-01,,449.38914659288196,,3281.5332845052085
2008-04-01,,428.1678106134588,,3170.7866765802555
2008-05-01,,526.1081695556641,,3260.1441514756943
2008-06-01,,675.6855265299479,1834.9559558686756,4739.753778366816
2008-07-01,320.07497614080256,634.755146373402,1684.3239801580255,4428.159446022727
2008-08-01,290.4374740600586,582.9447418212891,1478.270263671875,3664.5251220703126
2008-09-01,272.46161727905275,480.35795440673826,1245.5733581542968,3215.6471435546873
2008-10-01,140.70124855041504,236.7005256652832,810.8438018798828,1535.0596160888672
2008-11-01,111.14926681518554,265.57722091674805,637.7118667602539,1236.4896423339844
2008-12-01,92.82664931447883,306.9873898154811,658.4214220548931,1535.106021278783
2009-01-01,117.09831077174137,330.70015997635693,688.9858655427631,1639.6748560855262
2009-02-01,151.5244140625,332.27517852783205,785.3353424072266,1490.677294921875
2009-03-01,149.2656623840332,303.232861328125,829.8394897460937,1491.8195922851562
2009-04-01,179.570548248291,363.6364990234375,1078.411441040039,2019.934259033203
2009-05-01,221.93106151762464,455.8010631742932,1391.0775437127977,2786.3721865699404
2009-06-01,237.42533180930397,554.8383719704368,1443.975419477983,3360.9476429332385
2009-07-01,223.74708689814028,537.0221703570822,1305.4179315981658,3289.814739724864
2009-08-01,263.67754516601565,607.8831726074219,1392.699560546875,3924.917834472656
2009-09-01,260.8199929131402,620.5656094021267,1359.1676839192708,3786.0561252170137
2009-10-01,280.4464582963423,664.6794461337003,1342.476035378196,3773.5171231356535
2009-11-01,310.95901641845705,691.4232696533203,1226.7519409179688,4151.116198730469
2009-12-01,329.2119558233964,792.6500790244654,1194.7637682462994,4897.374563116777
2010-01-01,366.81959533691406,809.8059020996094,1394.8001098632812,5320.754174804688
2010-02-01,352.42285316868833,734.6806865491366,1303.8477397717927,5003.615774054277
2010-03-01,357.9744845303622,745.6588495427912,1267.36357532848,5680.221812855114
2010-04-01,413.02364240373885,828.5990484328497,1691.151867094494,6316.599725632441
2010-05-01,377.4234619140625,801.3920802066201,1513.1709434107731,5912.152472245066
2010-06-01,375.2783106023615,793.2718200683594,1674.8458751331675,6161.087846235795
2010-07-01,389.68873596191406,797.2322637384588,1767.5092995383523,6390.848188920455
2010-08-01,395.98558407738096,784.2855660574777,1903.6053292410713,6585.837169828869
2010-09-01,384.2254907944623,892.0820922851562,1852.6812744140625,6611.420783547794
2010-10-01,408.65855771019346,948.1175769624256,1962.3669840494792,7720.935825892857
2010-11-01,453.37845720563615,956.6399681454614,2199.2826567150296,8592.747000558036
2010-12-01,485.38701171875,1018.2091186523437,2574.2881103515624,8664.37041015625
2011-01-01,495.2434314546131,1046.3765985398065,2741.562813895089,8841.018856956845
2011-02-01,466.42344156901044,938.3492567274305,2272.759969075521,7942.053141276042
