Emiten,Model,MAE,RMSE,MAPE (%),R²
ADRO,"ARIMA(3, 1, 3)",95.9907,121.4728,1.9719,0.986775
PTBA,"ARIMA(1, 1, 3)",239.1403,303.2944,1.6923,0.989198
INDY,"ARIMA(1, 1, 3)",1907.3301,2420.5386,1.8245,0.981016
ITMG,"ARIMA(3, 1, 3)",0.0784,0.1229,5.1763,0.995727
